Id,SalePrice
1461,125000
1462,272000
1463,192000
1464,189000
1465,189000
1466,189000
1467,173000
1468,174000
1469,174000
1470,105000
1471,181000
1472,83000
1473,88000
1474,148500
1475,155000
1476,320000
1477,233170
1478,386250
1479,320000
1480,386250
1481,280000
1482,189000
1483,198900
1484,192500
1485,188500
1486,178000
1487,240000
1488,174000
1489,208300
1490,185000
1491,222500
1492,105000
1493,176000
1494,193000
1495,260000
1496,207500
1497,174000
1498,151000
1499,151000
1500,173733
1501,168500
1502,148800
1503,224000
1504,237000
1505,207500
1506,142000
1507,210000
1508,143000
1509,154000
1510,129000
1511,140000
1512,160000
1513,128000
1514,160000
1515,153000
1516,143000
1517,187500
1518,124000
1519,220000
1520,143000
1521,128900
1522,160000
1523,128000
1524,118000
1525,140000
1526,80000
1527,110000
1528,125000
1529,155000
1530,144000
1531,139000
1532,100000
1533,147000
1534,115000
1535,143000
1536,128000
1537,100000
1538,128000
1539,117000
1540,122000
1541,110000
1542,122000
1543,128000
1544,128000
1545,128000
1546,131000
1547,155000
1548,128000
1549,82500
1550,128000
1551,128000
1552,124000
1553,178000
1554,177000
1555,190000
1556,128000
1557,160000
1558,110000
1559,98000
1560,143000
1561,179000
1562,130000
1563,129500
1564,165500
1565,154000
1566,316600
1567,105000
1568,215000
1569,139000
1570,154000
1571,115000
1572,129000
1573,220000
1574,190000
1575,180000
1576,201000
1577,191000
1578,128000
1579,140000
1580,192000
1581,154000
1582,155000
1583,350000
1584,189000
1585,136500
1586,108000
1587,112000
1588,125000
1589,140000
1590,155000
1591,100000
1592,143000
1593,155000
1594,127000
1595,141000
1596,210000
1597,143000
1598,173000
1599,187500
1600,189000
1601,100000
1602,125500
1603,110000
1604,275000
1605,210000
1606,171500
1607,171000
1608,194500
1609,181000
1610,167500
1611,115000
1612,186000
1613,181000
1614,167900
1615,97000
1616,88000
1617,88000
1618,130500
1619,155000
1620,188000
1621,129500
1622,128000
1623,170000
1624,210000
1625,128900
1626,139000
1627,215000
1628,215000
1629,168500
1630,278000
1631,190000
1632,278000
1633,178000
1634,185000
1635,173000
1636,174000
1637,160000
1638,195000
1639,205000
1640,215000
1641,176000
1642,155000
1643,176000
1644,207500
1645,185000
1646,205000
1647,82500
1648,110000
1649,135000
1650,129000
1651,120500
1652,100000
1653,106000
1654,148500
1655,147000
1656,148500
1657,148500
1658,148500
1659,147000
1660,148000
1661,345000
1662,339750
1663,315000
1664,350000
1665,255500
1666,280000
1667,240000
1668,320000
1669,220000
1670,320000
1671,220000
1672,350000
1673,250000
1674,230000
1675,194700
1676,207500
1677,224000
1678,395192
1679,350000
1680,319900
1681,319900
1682,280000
1683,191000
1684,178000
1685,174000
1686,160200
1687,174000
1688,230000
1689,178000
1690,188500
1691,188500
1692,184000
1693,173000
1694,193000
1695,178000
1696,215000
1697,178000
1698,290000
1699,232000
1700,200000
1701,190000
1702,227000
1703,174000
1704,306000
1705,215000
1706,315000
1707,250580
1708,232000
1709,232000
1710,245000
1711,227000
1712,182000
1713,207500
1714,207500
1715,216000
1716,155000
1717,155000
1718,141000
1719,215000
1720,232000
1721,155000
1722,179000
1723,173000
1724,147000
1725,237000
1726,190000
1727,179200
1728,193000
1729,140000
1730,139000
1731,112500
1732,132500
1733,82500
1734,112000
1735,154000
1736,139000
1737,210000
1738,178000
1739,340000
1740,164500
1741,136500
1742,168500
1743,155000
1744,145000
1745,200000
1746,160000
1747,207500
1748,205000
1749,143000
1750,100000
1751,175000
1752,118000
1753,167000
1754,167900
1755,143000
1756,180500
1757,135000
1758,166000
1759,160000
1760,155000
1761,167000
1762,140000
1763,158000
1764,128000
1765,142000
1766,160000
1767,160000
1768,139000
1769,157000
1770,135000
1771,139000
1772,139400
1773,147000
1774,135000
1775,132500
1776,155000
1777,140000
1778,136500
1779,139000
1780,155000
1781,119000
1782,80000
1783,178000
1784,112000
1785,100000
1786,103000
1787,117000
1788,82000
1789,110000
1790,110000
1791,250000
1792,160000
1793,142000
1794,155000
1795,110000
1796,110000
1797,127500
1798,110000
1799,155000
1800,139000
1801,135000
1802,115000
1803,140000
1804,140000
1805,139000
1806,125000
1807,87000
1808,140000
1809,112000
1810,155000
1811,93000
1812,79000
1813,152000
1814,100000
1815,82000
1816,100000
1817,140000
1818,128000
1819,120000
1820,100000
1821,115000
1822,155000
1823,100000
1824,167500
1825,108000
1826,105000
1827,110000
1828,180500
1829,140000
1830,87000
1831,140000
1832,93000
1833,128000
1834,128000
1835,122000
1836,152000
1837,140000
1838,125000
1839,130500
1840,179000
1841,188000
1842,98000
1843,129000
1844,148000
1845,115000
1846,165500
1847,175000
1848,93000
1849,144000
1850,115000
1851,174500
1852,100000
1853,128000
1854,151000
1855,168500
1856,200000
1857,115000
1858,142953
1859,118964
1860,153337
1861,118964
1862,200000
1863,200000
1864,200000
1865,394432
1866,377500
1867,232000
1868,230000
1869,194500
1870,235000
1871,295493
1872,222500
1873,185000
1874,138000
1875,179000
1876,192000
1877,220000
1878,192000
1879,152000
1880,140000
1881,235000
1882,222500
1883,227000
1884,178000
1885,203000
1886,203000
1887,210000
1888,274900
1889,174000
1890,129000
1891,140000
1892,125000
1893,139000
1894,119000
1895,115000
1896,119000
1897,139000
1898,189000
1899,147000
1900,155000
1901,175000
1902,190000
1903,139000
1904,154000
1905,190000
1906,147000
1907,220000
1908,124000
1909,124000
1910,124000
1911,168500
1912,315000
1913,200000
1914,110000
1915,392500
1916,82000
1917,215000
1918,133000
1919,170000
1920,140000
1921,320000
1922,320000
1923,194500
1924,190000
1925,225000
1926,320000
1927,125500
1928,143000
1929,148000
1930,145000
1931,148000
1932,155000
1933,164500
1934,176000
1935,185000
1936,173000
1937,185000
1938,173000
1939,199900
1940,189000
1941,185000
1942,188000
1943,189000
1944,309000
1945,377500
1946,139900
1947,277500
1948,197900
1949,190000
1950,190000
1951,190000
1952,228000
1953,222000
1954,171000
1955,129000
1956,250000
1957,174000
1958,250000
1959,124000
1960,139000
1961,155000
1962,118000
1963,83000
1964,106000
1965,155000
1966,147000
1967,203000
1968,350000
1969,315000
1970,325000
1971,250000
1972,354000
1973,285000
1974,325000
1975,167000
1976,220000
1977,336000
1978,239000
1979,318000
1980,191000
1981,277500
1982,277500
1983,174000
1984,175500
1985,192000
1986,235000
1987,159895
1988,174000
1989,178000
1990,230000
1991,224000
1992,190000
1993,174000
1994,215000
1995,215000
1996,174000
1997,275000
1998,235000
1999,290000
2000,290000
2001,270000
2002,220000
2003,232000
2004,339750
2005,227000
2006,250580
2007,232000
2008,185000
2009,193000
2010,190000
2011,141000
2012,186000
2013,173000
2014,201000
2015,190000
2016,173000
2017,201000
2018,141000
2019,117000
2020,125000
2021,139000
2022,175000
2023,172500
2024,190000
2025,260000
2026,196000
2027,151000
2028,146000
2029,155000
2030,277500
2031,141000
2032,199900
2033,236500
2034,155000
2035,186500
2036,179400
2037,179400
2038,193000
2039,270000
2040,190000
2041,235000
2042,178000
2043,177000
2044,167000
2045,147000
2046,145000
2047,154000
2048,147000
2049,142600
2050,184000
2051,144000
2052,140000
2053,108000
2054,105000
2055,137500
2056,170000
2057,139000
2058,290000
2059,141000
2060,144000
2061,145000
2062,145000
2063,130000
2064,110000
2065,123000
2066,205000
2067,98300
2068,119000
2069,100000
2070,117000
2071,110000
2072,159500
2073,150000
2074,160000
2075,135000
2076,110000
2077,129000
2078,135000
2079,135000
2080,110000
2081,119000
2082,127500
2083,155000
2084,135000
2085,119000
2086,107000
2087,105000
2088,132000
2089,80000
2090,125000
2091,160000
2092,115000
2093,105000
2094,118000
2095,137000
2096,100000
2097,96500
2098,132500
2099,110000
2100,100000
2101,125000
2102,128000
2103,110000
2104,122500
2105,120000
2106,100000
2107,240000
2108,100000
2109,100000
2110,82500
2111,110000
2112,105000
2113,117000
2114,120000
2115,127000
2116,149000
2117,117000
2118,110000
2119,119000
2120,104900
2121,109900
2122,120000
2123,115000
2124,127000
2125,128000
2126,128000
2127,127500
2128,128000
2129,110000
2130,113000
2131,179500
2132,110000
2133,110000
2134,139000
2135,108000
2136,55000
2137,119000
2138,133000
2139,148000
2140,148000
2141,148000
2142,122000
2143,129000
2144,125000
2145,145000
2146,133000
2147,187500
2148,155000
2149,145000
2150,180000
2151,120000
2152,115000
2153,141000
2154,118500
2155,147000
2156,211000
2157,175000
2158,215000
2159,215000
2160,156932
2161,255500
2162,235000
2163,318000
2164,187500
2165,190000
2166,145000
2167,235000
2168,235000
2169,190000
2170,190000
2171,148000
2172,148000
2173,144000
2174,191000
2175,237000
2176,235000
2177,195000
2178,222500
2179,136500
2180,145000
2181,227000
2182,245350
2183,227000
2184,125000
2185,148000
2186,157000
2187,144000
2188,155000
2189,169000
2190,82000
2191,100000
2192,118000
2193,108000
2194,115000
2195,190000
2196,110000
2197,135000
2198,149000
2199,144000
2200,160000
2201,140000
2202,184000
2203,132500
2204,135000
2205,135000
2206,165500
2207,230000
2208,226000
2209,150000
2210,124000
2211,140000
2212,125500
2213,127500
2214,165000
2215,120000
2216,127000
2217,82000
2218,83000
2219,135000
2220,110000
2221,392500
2222,275000
2223,222000
2224,189000
2225,90000
2226,207500
2227,187500
2228,227000
2229,237000
2230,167500
2231,224500
2232,176000
2233,187500
2234,215000
2235,204000
2236,236500
2237,220000
2238,206300
2239,84500
2240,143000
2241,140000
2242,145000
2243,127000
2244,81000
2245,120000
2246,112000
